Label,Proposed,Tan24,Wu25,Xi24,Xi25,Lin18
沿X轴平移20,1.0,1.0,0.990842,0.733398,0.516906,nan
沿Y轴平移20,1.0,1.0,0.990842,0.72819,0.563474,nan
沿X、Y轴分别平移20,1.0,1.0,0.990842,0.72347,0.56395,nan
沿X轴平移20，沿Y轴平移40,1.0,1.0,0.990842,0.715495,0.559943,nan
沿X轴平移30，沿Y轴平移10,1.0,1.0,0.990842,0.726237,0.552899,nan
