Label,Proposed,Tan24,Wu25,Xi24,Xi25,Lin18
强度: 0.4-10%,0.95091,0.985005,0.989948,0.453451,0.530608,0.554132
强度: 0.4-30%,0.942986,0.970105,0.977798,0.470378,0.553228,0.556132
强度: 0.4-50%,0.937301,0.960642,0.890439,0.459798,0.564104,0.528025
强度: 0.4-70%,0.935834,0.956734,0.708031,0.470866,0.572795,0.547928
强度: 0.4-90%,0.933452,0.957217,0.655379,0.466471,0.57098,0.554295
强度: 0.6-10%,0.952134,0.984825,0.988555,0.462077,0.539453,0.552359
强度: 0.6-30%,0.94106,0.965061,0.969901,0.465169,0.536981,0.559234
强度: 0.6-50%,0.935976,0.959722,0.870115,0.477214,0.5439,0.554533
强度: 0.6-70%,0.938518,0.957826,0.715673,0.462565,0.569683,0.552366
强度: 0.6-90%,0.937846,0.956585,0.6521,0.466309,0.565869,0.552838
强度: 0.8-10%,0.94936,0.985561,0.988267,0.443848,0.537777,0.54125
强度: 0.8-30%,0.942705,0.969215,0.969677,0.460612,0.548081,0.551975
强度: 0.8-50%,0.939983,0.963424,0.893703,0.467611,0.555552,0.549941
强度: 0.8-70%,0.937905,0.960179,0.717356,0.468587,0.559529,0.554812
强度: 0.8-90%,0.940032,0.955604,0.65472,0.463379,0.574595,0.555867
