Label,Proposed,Tan24,Wu25,Xi24,Xi25,Lin18
反转顶点顺序,1.0,0.960441,0.989852,0.580241,0.574939,nan
打乱顶点顺序,0.895093,0.999205,0.808611,0.516276,0.549309,nan
反转对象顺序,1.0,1.0,0.990446,0.73763,0.516678,nan
打乱对象顺序,1.0,1.0,0.882812,0.73763,0.516678,nan
