Label,Proposed,Tan24,Wu25,Xi24,Xi25,Lin18
10%,0.857917,1.0,0.990439,0.618978,0.564965,0.556174
50%,0.915914,1.0,0.991244,0.70752,0.569477,0.548211
90%,0.988311,1.0,0.991244,0.734701,0.566171,0.553072
130%,0.972586,1.0,0.990842,0.731445,0.557556,0.55703
170%,0.950471,1.0,0.991244,0.724121,0.55477,0.566698
210%,0.936044,1.0,0.990842,0.720215,0.569816,0.557343
