Label,Proposed,Tan24,Wu25,Xi24,Xi25,Lin18
10%,0.992582,0.990298,0.928935,0.727539,0.523575,0.555199
20%,0.990441,0.97182,0.923739,0.715007,0.534207,0.559245
30%,0.988538,0.952679,0.907659,0.701497,0.542482,0.54082
40%,0.972287,0.949433,0.885733,0.685059,0.555589,0.539192
50%,0.970323,0.908574,0.881907,0.664062,0.557086,0.560154
60%,0.958289,0.889933,0.865409,0.636068,0.573247,0.551443
70%,0.948559,0.851208,0.83685,0.602539,0.580135,0.555725
80%,0.962619,0.80832,0.825938,0.556966,0.575983,0.546481
90%,0.929717,0.756979,0.74956,0.490885,0.55826,0.540694
