Label,Proposed,Tan24,Wu25,Xi24,Xi25,Lin18
45°,0.976452,1.0,0.990439,0.719238,0.552123,0.557996
90°,0.966213,1.0,0.990842,0.715007,0.52812,0.562761
135°,0.97672,1.0,0.990439,0.718913,0.560516,0.552393
180°,0.9939,1.0,0.990842,0.736491,0.571937,0.551678
225°,0.97675,1.0,0.990842,0.719889,0.554325,0.553633
270°,0.965694,1.0,0.991244,0.714844,0.533712,0.552512
315°,0.977018,1.0,0.990439,0.71875,0.556389,0.56481
360°,1.0,1.0,0.990842,0.73763,0.516678,0.563556
