Label,Proposed,Tan24,Wu25,Xi24,Xi25,Lin18
沿X轴中心裁剪50%,0.985089,0.965879,0.927911,0.695801,0.532136,nan
沿Y轴中心裁剪50%,0.980818,0.924922,0.888541,0.690592,0.532036,nan
裁剪左上角,0.949791,0.8407,0.811834,0.558919,0.572819,nan
裁剪右下角,0.934112,0.780976,0.793881,0.579915,0.545299,nan
随机裁剪40%,0.97683,0.94286,0.873656,0.688802,0.513035,nan
