Label,Proposed,Tan24,Wu25,Xi24,Xi25,Lin18
同时X、Y轴镜像翻转,0.9939,1.0,0.990842,0.736491,0.571937,nan
X轴镜像翻转,0.996557,1.0,0.990842,0.630859,0.519276,nan
Y轴镜像翻转,0.995761,1.0,0.990842,0.630534,0.564627,nan
