Label,Proposed,Tan24,Wu25,Xi24,Xi25,Lin18
10%,1.0,0.909591,0.990445,0.676758,0.530425,0.547835
20%,1.0,0.894433,0.986673,0.650391,0.519523,0.555417
30%,1.0,0.898794,0.979921,0.626302,0.516272,0.563779
40%,1.0,0.875632,0.965553,0.594889,0.528361,0.552933
50%,1.0,0.869715,0.935747,0.568522,0.542626,0.548755
60%,1.0,0.855873,0.901678,0.547689,0.547736,0.545626
70%,1.0,0.833881,0.835093,0.516927,0.558094,0.545001
80%,0.999735,0.80358,0.797322,0.499837,0.557499,0.556885
90%,0.998146,0.743793,0.791189,0.477702,0.565073,0.557813
