map_a,map_b,bit_agreement,descriptor_nc,identity_permutation_logo_nc
H51-BRGL,tianjin-latest-free.shp-gis_osm_roads_free_1,0.845703125,0.8457031249999998,0.8712919706037621
H51-BRGL,tianjin-latest-free.shp-gis_osm_traffic_a_free_1,0.794921875,0.7949218749999998,0.8280786712108251
H51-BRGL,tianjin-latest-free.shp-gis_osm_traffic_free_1,0.626953125,0.6269531249999999,0.6736565179592966
H51-BRGL,tianjin-latest-free.shp-gis_osm_transport_a_free_1,0.794921875,0.7949218749999998,0.8280786712108251
H51-BRGL,tianjin-latest-free.shp-gis_osm_transport_free_1,0.640625,0.6406249999999999,0.6875071481644318
H51-BRGL,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.826171875,0.8261718749999998,0.8545578003665635
H51-BRGL,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.9453125,0.9453124999999998,0.954916541643174
H51-BRGP,H51-CPTL,0.63671875,0.6367187499999999,0.685874240313531
H51-BRGP,H51-HFCA,0.685546875,0.6855468749999999,0.7314365571442931
H51-BRGP,H51-HFCL,0.6484375,0.6484374999999999,0.6939368534969832
H51-BRGP,H51-HFCP,0.98046875,0.9804687499999998,0.9840314895115047
H51-BRGP,H51-HYDA,0.212890625,0.21289062499999994,0.24535664332172594
H51-BRGP,H51-HYDL,0.6640625,0.6640624999999999,0.7080809281593774
H51-BRGP,H51-HYDP,0.998046875,0.9980468749999998,0.9984126984126986
H51-BRGP,H51-LFCL,0.68359375,0.6835937499999999,0.7244850469637767
H51-BRGP,H51-LFCP,0.994140625,0.9941406249999998,0.9952317823890993
H51-BRGP,H51-LRDL,0.6328125,0.6328124999999999,0.6779372875487569
H51-BRGP,H51-LRRL,0.537109375,0.5371093749999999,0.5880865022485927
H51-BRGP,H51-RESA,0.673828125,0.6738281249999999,0.7201790785749369
H51-BRGP,H51-RESP,0.998046875,0.9980468749999998,0.9984126984126986
H51-BRGP,H51-RFCA,0.720703125,0.7207031249999999,0.7626205388834794
H51-BRGP,H51-RFCP,0.998046875,0.9980468749999998,0.9984114366459335
H51-BRGP,H51-TERL,0.322265625,0.32226562499999994,0.3720130442072855
H51-BRGP,H51-TERP,0.998046875,0.9980468749999998,0.9984114366459335
