claimed_map,query_map,recovered_logo_nc,accept_at_nominal_0_90
H51-AGNP,tianjin-latest-free.shp-gis_osm_transport_free_1,0.9952380952380954,1
H51-AGNP,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.688340417280963,0
H51-AGNP,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.6782292769000924,0
H51-BOUA,H51-AANP,0.29983373207732533,0
H51-BOUA,H51-AGNP,0.2967430494380125,0
H51-BOUA,H51-BOUL,0.6217949033809601,0
H51-BOUA,H51-BOUP,0.3090331539840274,0
H51-BOUA,H51-BRGA,0.5902574135595615,0
H51-BOUA,H51-BRGL,0.6040943688223899,0
H51-BOUA,H51-BRGP,0.29983373207732533,0
H51-BOUA,H51-CPTL,0.5810172113978643,0
H51-BOUA,H51-HFCA,0.5327427843381011,0
H51-BOUA,H51-HFCL,0.5835585829134134,0
H51-BOUA,H51-HFCP,0.2929868083058858,0
H51-BOUA,H51-HYDA,0.9617334967033845,1
H51-BOUA,H51-HYDL,0.5833739451798582,0
H51-BOUA,H51-HYDP,0.2967430494380125,0
H51-BOUA,H51-LFCL,0.5758449513557468,0
H51-BOUA,H51-LFCP,0.29983373207732533,0
H51-BOUA,H51-LRDL,0.6120699548496312,0
H51-BOUA,H51-LRRL,0.6598379227191058,0
H51-BOUA,H51-RESA,0.55206309653104,0
H51-BOUA,H51-RESP,0.2967430494380125,0
H51-BOUA,H51-RFCA,0.5191741316511651,0
H51-BOUA,H51-RFCP,0.29983373207732533,0
H51-BOUA,H51-TERL,0.899328198596713,0
H51-BOUA,H51-TERP,0.29983373207732533,0
H51-BOUA,H51-VEGA,0.8789756322400789,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.5914961748546856,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.5922685747620565,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_natural_free_1,0.29983373207732533,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.5777803215247219,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_places_free_1,0.29983373207732533,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.580776710364308,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_pofw_free_1,0.3090331539840274,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.5876093775450646,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_pois_free_1,0.29983373207732533,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_railways_free_1,0.7502155823270249,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_roads_free_1,0.5409079005404444,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_traffic_a_free_1,0.5869812138982429,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_traffic_free_1,0.28799314405104887,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_transport_a_free_1,0.5824848771594971,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_transport_free_1,0.2967430494380125,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.6364476508604844,0
H51-BOUA,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.5987182885113332,0
H51-BOUL,H51-AANP,0.6586011120296266,0
H51-BOUL,H51-AGNP,0.6568770253489208,0
H51-BOUL,H51-BOUA,0.6217949033809601,0
H51-BOUL,H51-BOUP,0.6625338315464466,0
H51-BOUL,H51-BRGA,0.9258327891058185,1
H51-BOUL,H51-BRGL,0.9421279329352287,1
H51-BOUL,H51-BRGP,0.6586011120296266,0
H51-BOUL,H51-CPTL,0.9424301582476036,1
H51-BOUL,H51-HFCA,0.8995830096824817,0
H51-BOUL,H51-HFCL,0.9587301587301589,1
H51-BOUL,H51-HFCP,0.6455065036862819,0
H51-BOUL,H51-HYDA,0.5802074754667357,0
H51-BOUL,H51-HYDL,0.9014644577457077,1
H51-BOUL,H51-HYDP,0.6568770253489208,0
H51-BOUL,H51-LFCL,0.8626221830852104,0
H51-BOUL,H51-LFCP,0.6573712302616691,0
H51-BOUL,H51-LRDL,0.9193697329864061,1
H51-BOUL,H51-LRRL,0.9207878746497293,1
H51-BOUL,H51-RESA,0.9027075674773933,1
H51-BOUL,H51-RESP,0.6568770253489208,0
H51-BOUL,H51-RFCA,0.8545578003665635,0
H51-BOUL,H51-RFCP,0.6586011120296266,0
H51-BOUL,H51-TERL,0.6523484050401608,0
H51-BOUL,H51-TERP,0.6586011120296266,0
H51-BOUL,H51-VEGA,0.7401909639255329,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.7722389856931152,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.7761865106871647,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_natural_free_1,0.6586011120296266,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.7772104813091654,0
